YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,5,16,31.49,27.55,0.3,0.11,85.78,11.02,11.0,1.36,0.01,0.02,15.71,8.54,12.12,7.08,62.31,0.0,98.49,2.65,270.0
2014,1,5,17,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,13.85,7.67,10.76,6.65,66.19,0.0,98.53,2.95,276.24
2014,1,5,18,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,13.16,7.55,10.36,6.59,68.62,0.0,98.56,2.87,284.68
2014,1,5,19,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,12.51,7.51,10.01,6.59,71.44,0.0,98.58,2.69,294.86
2014,1,5,20,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,11.84,7.42,9.63,6.53,74.19,0.0,98.59,2.47,307.41
2014,1,5,21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,11.23,7.27,9.25,6.47,76.56,0.0,98.59,2.34,319.46
2014,1,5,22,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.71,7.08,8.9,6.35,78.19,0.0,98.59,2.33,325.4
2014,1,5,23,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.29,6.78,8.54,6.23,78.81,0.0,98.58,2.37,327.67
2014,1,6,0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.01,6.41,8.22,6.1,78.25,0.0,98.57,2.34,328.38
2014,1,6,1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.87,6.01,7.94,5.92,76.81,0.0,98.55,2.23,325.58
2014,1,6,2,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.73,5.67,7.7,5.8,75.75,0.0,98.53,2.11,316.35
2014,1,6,3,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.28,5.43,7.36,5.68,76.81,0.0,98.53,2.14,308.46
2014,1,6,4,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.62,5.22,6.92,5.62,79.12,0.0,98.54,2.23,307.31
2014,1,6,5,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.98,5.0,6.49,5.55,81.44,0.0,98.6,2.3,307.69
2014,1,6,6,7.07,4.67,0.3,0.09,89.03,1.67,1.7,0.21,0.0,0.0,7.58,4.81,6.2,5.43,82.56,0.0,98.69,2.31,307.84
2014,1,6,7,40.24,81.98,0.16,0.11,79.66,16.12,31.1,2.02,0.01,0.05,10.15,5.44,7.8,5.68,72.5,0.0,98.8,2.41,305.65
2014,1,6,8,104.51,227.52,0.21,0.11,69.23,42.73,86.67,5.18,0.06,0.33,12.82,5.51,9.16,5.74,61.12,0.0,98.92,3.07,295.98
2014,1,6,9,176.04,375.27,0.26,0.12,60.46,73.7,146.88,8.82,0.16,0.8,15.45,4.9,10.17,5.49,49.44,0.0,98.99,3.65,282.37
2014,1,6,10,204.88,485.38,0.25,0.12,54.16,90.23,193.17,10.98,0.24,1.23,18.12,3.45,10.78,4.94,37.75,0.0,98.97,4.74,278.34
2014,1,6,11,247.34,457.98,0.28,0.12,51.27,102.52,173.73,10.97,0.25,1.27,20.48,1.76,11.12,4.39,28.81,0.0,98.89,5.23,274.71
2014,1,6,12,330.49,443.75,0.38,0.12,52.36,132.38,167.75,13.77,0.3,1.55,21.31,1.8,11.55,4.39,27.44,0.0,98.8,5.02,270.45
2014,1,6,13,268.23,376.38,0.35,0.18,57.2,103.42,140.52,10.76,0.21,1.02,21.35,1.74,11.55,4.39,27.25,0.0,98.74,4.95,268.37
2014,1,6,14,189.62,259.6,0.32,0.12,64.95,73.92,95.42,7.84,0.12,0.58,20.74,1.78,11.26,4.39,28.38,0.0,98.71,4.54,267.63
2014,1,6,15,107.09,128.17,0.29,0.12,74.7,41.45,46.73,4.47,0.03,0.17,18.94,4.13,11.54,5.19,37.62,0.0,98.7,3.2,263.41
2014,1,6,16,27.77,23.73,0.26,0.11,85.65,9.23,9.12,1.06,0.0,0.02,14.33,4.51,9.42,5.31,51.62,0.0,98.73,3.11,262.93
2014,1,6,17,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,12.05,3.19,7.62,4.82,54.5,0.0,98.8,3.51,271.4
2014,1,6,18,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,11.14,2.69,6.92,4.7,55.94,0.0,98.87,3.47,280.65
2014,1,6,19,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.15,2.37,6.26,4.58,58.44,0.0,98.91,3.25,292.49
2014,1,6,20,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.23,2.11,5.66,4.46,61.0,0.0,98.94,3.12,304.29
2014,1,6,21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.53,1.82,5.17,4.39,62.62,0.0,98.95,2.98,313.51
2014,1,6,22,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.97,1.53,4.75,4.27,63.69,0.0,98.9,2.8,320.89
2014,1,6,23,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.61,1.29,4.45,4.21,64.19,0.0,98.87,2.64,319.8
2014,1,7,0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.48,1.2,4.34,4.21,64.31,0.0,98.86,2.59,311.2
2014,1,7,1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.36,1.24,4.3,4.21,65.0,0.0,98.84,2.61,308.93
2014,1,7,2,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,7.25,1.24,4.25,4.21,65.5,0.0,98.83,2.65,309.27
2014,1,7,3,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.52,0.9,3.71,4.09,67.19,0.0,98.79,2.67,310.97
