YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLRSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,4,18,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.07,-1.42,2.33,4.52,62.31,0.0,81.02,1.25,347.78
2014,1,4,19,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.71,-2.54,1.58,4.15,59.19,0.0,81.02,1.46,353.22
2014,1,4,20,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.77,-3.83,0.98,3.85,53.94,0.0,81.02,1.4,354.89
2014,1,4,21,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.83,-4.95,0.44,3.54,49.62,0.0,81.04,1.3,340.69
2014,1,4,22,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.52,-5.7,-0.09,3.36,48.0,0.0,81.03,1.22,337.86
2014,1,4,23,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.3,-6.49,-0.6,3.17,45.94,0.0,80.99,1.21,349.56
2014,1,5,0,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.42,-7.57,-1.08,2.93,42.19,0.0,80.94,1.09,352.57
2014,1,5,1,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.29,-8.18,-1.45,2.75,40.38,0.0,80.94,1.03,332.08
2014,1,5,2,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.37,-8.39,-2.01,2.75,42.5,0.0,80.92,1.15,330.3
2014,1,5,3,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.1,-8.73,-2.31,2.62,41.94,0.0,80.88,1.22,356.7
2014,1,5,4,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.21,-9.09,-2.44,2.56,40.25,0.0,80.85,1.21,11.89
2014,1,5,5,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.11,-9.74,-2.81,2.38,38.0,0.0,80.85,1.13,20.19
